Country of Residence,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Country,Total,Total in %,Land van Verblijf
Iran,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,IR,2,0.05,Iran
Bulgarien,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,BG,2,0.05,Bulgarije
Rumänien,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,RO,2,0.05,Roemenië
Marokko,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,MA,2,0.05,Marokko
Argentinien,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,AR,1,0.03,Argentinië
Andorra,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,AD,1,0.03,Andorra
Indonesien,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,ID,1,0.03,Indonesië
Island,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,IS,1,0.03,IJsland
Gibraltar,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,GI,1,0.03,Gibraltar
Guam,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,GI,1,0.03,Guam
Bahamas,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,BS,1,0.03,Bahamas
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,BY,1,0.03,Wit -Rusland
Chile,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,CL,1,0.03,Chili
Cost Rica,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,CR,1,0.03,Costa Rica
Peru,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,PE,1,0.03,Peru
Mexiko,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,MX,1,0.03,Mexico
Luxemburg,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,LU,1,0.03,Luxemburg
Marokka,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,MA,1,0.03,Marokko
Libanon,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,LB,1,0.03,Libanon
Simbabwe,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,ZW,1,0.03,Zimbabwe
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,UA,1,0.03,Oekraïne
Uruguay,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,UR,1,0.03,Uruguay
